PatientID,WT,TC,ET
BraTS2021_01416,0.7852333808077068,0.8094853574590204,0.6882444158757923
BraTS2021_01417,0.8791018998371377,0.8768187830942421,0.8486848444337882
BraTS2021_01418,0.9341800041701738,0.9473150705804622,0.8677339901640722
BraTS2021_01419,0.9326775630208965,0.7540550399421185,0.9049620694061731
BraTS2021_01420,0.8811919771045978,0.9345041322990659,0.9070052345394751
BraTS2021_01421,0.9544049654610508,0.9479980172993339,0.889710367282829
BraTS2021_01422,0.6531882905008953,0.046579635460491244,0.259896736145467
BraTS2021_01423,0.8550144072475176,0.9461988304617945,0.9162914450304017
BraTS2021_01424,0.9409137775929141,0.9598085889184861,0.8334965794375606
BraTS2021_01425,0.9366076248699442,0.9363953571219543,0.9359839052838852
BraTS2021_01426,0.9289584192051229,0.9131911297652247,0.8178505020905292
BraTS2021_01427,0.9028857294931755,0.9457895538380098,0.8704491097815464
BraTS2021_01428,0.7803218015956653,0.44277139790644376,0.2647891952605652
BraTS2021_01429,0.8043366608519447,0.6945651800297528,0.569017133844863
BraTS2021_01430,0.9243432378130811,0.8964622389280932,0.8568856885786902
BraTS2021_01431,0.3269720444076485,0.3610559953882646,0.3990986757445466
BraTS2021_01432,0.8782449711815148,0.6259894624050498,0.5298998570879352
BraTS2021_01433,0.8875826598173074,0.526444990486002,9.233610256384024e-09
BraTS2021_01434,0.8621338271733958,0.5974625148044381,3.412969271628091e-09
BraTS2021_01435,0.2659567546863977,0.0004570911893171688,1.6260162337233135e-08
BraTS2021_01436,0.9215082514229302,0.32798752443580453,4.3478241965981756e-07
BraTS2021_01437,0.940685316690589,0.3809309901227101,7.2516315645276906e-09
BraTS2021_01438,0.8745661280753663,0.20998868608210947,0.8612843715529436
BraTS2021_01439,0.6668293765993278,1.0719262503248728e-09,1.0
BraTS2021_01440,0.8783109902366024,0.3717413564732845,1.2315270784294696e-08
BraTS2021_01441,0.8056262032526889,0.8396256857186847,0.7505498354345381
BraTS2021_01442,0.9513669941384831,0.9670649880133109,0.9122888536718569
BraTS2021_01443,0.9097128197911338,0.8850167122134721,0.8034898668589858
BraTS2021_01444,0.9196505882977751,0.9538464994604178,0.9407057777622863
BraTS2021_01445,0.9462780326845722,0.929052408383546,0.8777027027148546
BraTS2021_01446,0.93230433688783,0.8834126510198828,0.8437008051329554
BraTS2021_01447,0.9590961977875717,0.928051118221079,0.8910071124856278
BraTS2021_01448,0.942109385204052,0.8994299237394536,0.8902828217340345
BraTS2021_01449,0.9530304339233268,0.9397282466156631,0.9085438307507869
BraTS2021_01450,0.8943231545676174,0.9289297352975249,0.8851055357003657
BraTS2021_01451,0.7181984176191823,0.8799468645154442,0.8383255143520236
BraTS2021_01452,0.8785671537392431,0.9287290380309697,0.9042578783927617
BraTS2021_01453,0.8477470771450394,0.8479562169933673,0.8299101984263269
BraTS2021_01454,0.8698039511793305,0.8478501815693006,0.7429804664839612
BraTS2021_01455,0.9497512547099687,0.9493605507242959,0.9239596846697975
BraTS2021_01456,0.9645411531706398,0.9350557369072096,0.9179718229425067
BraTS2021_01457,0.9301118439969809,0.9128503735962255,0.8884828603100964
BraTS2021_01458,0.9399944471489559,0.8854396331390474,0.762101150487817
BraTS2021_01459,0.7829587250136987,0.9135878130302978,0.929239733358037
BraTS2021_01460,0.9250062069777675,0.9373213700078877,0.8731504396914967
BraTS2021_01461,0.8568798223158114,0.9508909170038448,0.9156090719681151
BraTS2021_01462,0.8855684245304846,0.8577050960409675,0.7979205418519768
BraTS2021_01463,0.9529683103186427,0.9151452577225454,0.9097459440602462
BraTS2021_01464,0.8795493025457292,0.8807069220025985,0.9033115938052861
BraTS2021_01465,0.9713560268388272,0.9581282303780876,0.9403705328619494
BraTS2021_01466,0.9576433483680994,0.942256188441026,0.9077950430288764
BraTS2021_01467,0.9594838155070389,0.938403955052576,0.850776192354351
BraTS2021_01468,0.9434596140140487,0.9531576959636248,0.9115591149070041
BraTS2021_01469,0.7797846276816381,0.6463508892057515,0.7330798482470471
BraTS2021_01470,0.8883293799684395,0.9313603497792634,0.8959656652807014
BraTS2021_01471,0.9630545483976553,0.961599888898271,0.9166023409382156
BraTS2021_01472,0.881507422554338,0.8782554979147201,0.8101034874962458
BraTS2021_01473,0.852992682701771,0.8810228837189912,0.8527625986743969
BraTS2021_01474,0.8951594196470276,0.715417586736535,0.8271470007509465
BraTS2021_01475,0.9576021678822124,0.9441383201827825,0.8933537964205216
BraTS2021_01476,0.8820902595616351,0.42819336054799056,0.48906561651957026
BraTS2021_01477,0.9154594334038512,0.011037640003682904,1.526717533943244e-08
BraTS2021_01478,0.9055062389730666,0.18779237966609613,0.29069628652729457
BraTS2021_01479,0.8070100022799636,0.5163897183111942,0.7164941395746732
BraTS2021_01480,0.5012518205394688,9.441979029891438e-10,2.9411756055365867e-07
BraTS2021_01481,0.9109979363570876,0.892970234461089,0.8380546916029888
BraTS2021_01482,0.67718291912102,0.7354488380528613,0.7372031669203083
BraTS2021_01483,0.8115772043697107,0.03841467340498707,3.4048348539161224e-09
BraTS2021_01484,0.8569799467184218,0.6911784214153801,5.326799123567465e-10
BraTS2021_01485,0.7440030837300965,0.633810890350654,0.6587942842834413
BraTS2021_01486,0.8561263595286539,0.009327400731932483,6.36942671102276e-09
BraTS2021_01487,0.9642508576425407,0.7750492920886138,0.8213459977370831
BraTS2021_01488,0.9479825304795447,0.819411597852894,0.8196611146643973
BraTS2021_01489,0.9165333113388728,0.6853899883724296,0.27614151842991136
BraTS2021_01490,0.44795117003366075,0.08883326014130856,0.5081191294632498
BraTS2021_01491,0.8306752630203414,0.000856613048657206,1.1111098765445817e-06
BraTS2021_01492,0.9560375023642388,0.9196030490580319,0.934984049837653
BraTS2021_01493,0.925104649111049,0.7542581833988582,0.880510793587299
BraTS2021_01494,0.9357861345352659,0.16757726675519097,3.2615785934064625e-09
BraTS2021_01495,0.7797180760359574,0.8745226890378095,0.8771191137095633
BraTS2021_01496,0.9173307044311404,0.4319119670642296,0.028885043160687216
BraTS2021_01497,0.9248155186817251,0.7151676005391558,0.4274215935141399
BraTS2021_01498,0.8610990802807372,0.5755633766047401,0.7989460837659318
BraTS2021_01499,0.9336199547870958,0.24851957535218056,8.658008583047545e-09
BraTS2021_01500,0.9321130941184761,0.25483688233235907,0.1520270413508946
BraTS2021_01501,0.9701834575176825,0.6592641301028737,0.6987887662188769
BraTS2021_01502,0.6413907195290691,0.09419445127294847,1.4285693877580176e-06
BraTS2021_01503,0.9038760521198868,0.030096498393888588,0.27586208680142643
BraTS2021_01504,0.6422684328470407,0.13595861495608544,0.3403330967390797
BraTS2021_01505,0.9101532663226591,0.1780147329266188,0.7308238645922448
BraTS2021_01506,0.8544010404615665,0.30447715667448744,0.43538238209658475
BraTS2021_01507,0.8155618423556692,0.6047997044160185,0.35574944492900695
BraTS2021_01508,0.6249044788502219,0.14323607458186982,0.14829143037852077
BraTS2021_01509,0.8850142744423274,0.015370930789763055,1.639343993550165e-07
BraTS2021_01510,0.834241544485514,0.499324719355427,1.5867978394370077e-09
BraTS2021_01511,0.8869098693098347,0.5920309579515279,1.064509260097393e-09
BraTS2021_01512,0.924642619801032,0.7684151038069195,0.0007270092686959204
BraTS2021_01513,0.8574736129118392,0.36396334861201884,0.5857478467060906
BraTS2021_01514,0.896511363718165,0.524258164369491,0.3328757003560295
BraTS2021_01515,0.8294000745302013,0.001321839717379185,8.409014456433726e-10
BraTS2021_01516,0.8233044411002941,0.12631059685912102,0.8584817257874252
BraTS2021_01517,0.9002763206920339,0.36713036003547844,1.6331863438948453e-09
BraTS2021_01518,0.9543222760179312,0.44967011910271737,0.5068249272794512
BraTS2021_01519,0.7808153875306619,0.8724035610111579,0.8667628669764905
